timestamp,direction,ret,pnl,equity
2020-03-04 10:50:00,-1,-0.7674905616933057,0.7674905616933057,0.7674905616933057
2020-03-04 10:55:00,-1,5.2753796933212564,-5.2753796933212564,-4.507889131627951
2020-03-04 11:00:00,1,-2.5693261424674634,-2.5693261424674634,-7.077215274095414
2020-03-04 11:05:00,1,-4.5918715347807195,-4.5918715347807195,-11.669086808876134
2020-03-04 11:10:00,1,4.6914660404878505,4.6914660404878505,-6.977620768388284
2020-03-04 11:15:00,1,-9.329812526796736,-9.329812526796736,-16.30743329518502
2020-03-04 11:20:00,1,18.518563671431664,18.518563671431664,2.2111303762466434
2020-03-04 11:25:00,-1,-7.374263334213473,7.374263334213473,9.585393710460117
2020-03-04 11:30:00,-1,-2.9348333051227957,2.9348333051227957,12.520227015582913
2020-03-04 11:35:00,1,3.593485437248886,3.593485437248886,16.1137124528318
2020-03-04 11:40:00,-1,0.7915005022990602,-0.7915005022990602,15.322211950532738
2020-03-04 11:45:00,-1,0.7062060904172587,-0.7062060904172587,14.616005860115479
2020-03-04 11:50:00,-1,6.903285817948145,-6.903285817948145,7.712720042167334
2020-03-04 11:55:00,-1,-3.820346386183055,3.820346386183055,11.533066428350388
2020-03-04 12:00:00,-1,14.544772949399238,-14.544772949399238,-3.0117065210488505
2020-03-04 12:05:00,1,-5.092392281924912,-5.092392281924912,-8.104098802973763
2020-03-04 12:10:00,-1,19.455797037124203,-19.455797037124203,-27.559895840097965
2020-03-04 12:15:00,-1,-11.347404114434571,11.347404114434571,-16.212491725663394
2020-03-04 12:20:00,1,4.386167413084508,4.386167413084508,-11.826324312578887
2020-03-04 12:25:00,-1,5.63515070991898,-5.63515070991898,-17.461475022497865
2020-03-04 12:30:00,-1,-11.130437315730772,11.130437315730772,-6.331037706767093
2020-03-04 12:35:00,1,6.330882799683554,6.330882799683554,-0.0001549070835391575
2020-03-04 12:40:00,-1,1.323665314260291,-1.323665314260291,-1.3238202213438302
2020-03-04 12:45:00,1,-1.651327132760067,-1.651327132760067,-2.975147354103897
2020-03-04 12:50:00,-1,1.0565381495265664,-1.0565381495265664,-4.031685503630463
2020-03-04 12:55:00,1,-6.775701218290419,-6.775701218290419,-10.807386721920881
2020-03-04 13:00:00,-1,6.051231328367362,-6.051231328367362,-16.858618050288243
2020-03-04 13:05:00,-1,-8.221297410595163,8.221297410595163,-8.63732063969308
2020-03-04 13:10:00,-1,-19.6403960164997,19.6403960164997,11.00307537680662
2020-03-04 13:15:00,1,-6.125346757949301,-6.125346757949301,4.8777286188573195
2020-03-04 13:20:00,-1,10.186736527856935,-10.186736527856935,-5.309007908999615
2020-03-04 13:25:00,1,-13.998595271395967,-13.998595271395967,-19.30760318039558
2020-03-04 13:30:00,1,-18.15054591819844,-18.15054591819844,-37.45814909859402
2020-03-04 13:35:00,1,10.46561611582727,10.46561611582727,-26.99253298276675
2020-03-04 13:40:00,-1,-3.537754550590223,3.537754550590223,-23.45477843217653
2020-03-04 13:45:00,-1,11.898384138416926,-11.898384138416926,-35.353162570593454
2020-03-04 13:50:00,-1,-4.314894675127945,4.314894675127945,-31.03826789546551
2020-03-04 13:55:00,1,8.438406945834707,8.438406945834707,-22.599860949630802
2020-03-04 14:00:00,-1,-3.094722888279685,3.094722888279685,-19.50513806135112
2020-03-04 14:05:00,1,-4.3875792506489955,-4.3875792506489955,-23.892717312000116
2020-03-04 14:10:00,-1,7.55970336699439,-7.55970336699439,-31.452420678994507
2020-03-04 14:15:00,1,-8.321575909098573,-8.321575909098573,-39.773996588093084
2020-03-04 14:20:00,1,2.0729811297742167,2.0729811297742167,-37.701015458318864
2020-03-04 14:25:00,1,5.717803826905997,5.717803826905997,-31.983211631412868
2020-03-04 14:30:00,-1,-1.0966061258872823,1.0966061258872823,-30.886605505525587
2020-03-04 14:35:00,1,12.441751642653298,12.441751642653298,-18.44485386287229
2020-03-04 14:40:00,1,-17.757060531007266,-17.757060531007266,-36.201914393879555
2020-03-04 14:45:00,1,24.79925285240167,24.79925285240167,-11.402661541477887
2020-03-04 14:50:00,-1,8.81759139889595,-8.81759139889595,-20.220252940373836
2020-03-04 14:55:00,-1,-22.60175345861526,22.60175345861526,2.381500518241424
2020-03-04 15:00:00,1,7.343941248469425,7.343941248469425,9.725441766710848
2020-03-04 15:05:00,-1,-10.088987547584374,10.088987547584374,19.81442931429522
2020-03-04 15:10:00,1,-13.729519929732955,-13.729519929732955,6.084909384562266
2020-03-04 15:15:00,1,-8.453982521116458,-8.453982521116458,-2.369073136554192
2020-03-04 15:20:00,1,-5.836107926483987,-5.836107926483987,-8.205181063038179
2020-03-04 15:25:00,1,10.225261159522493,10.225261159522493,2.020080096484314
2020-03-04 15:30:00,-1,-3.746653030639767,3.746653030639767,5.7667331271240805
2020-03-04 15:35:00,1,13.783572277073233,13.783572277073233,19.550305404197314
2020-03-04 15:40:00,-1,3.755090097778556,-3.755090097778556,15.795215306418758
2020-03-04 15:45:00,-1,2.1571475927697885,-2.1571475927697885,13.638067713648969
2020-03-04 15:50:00,-1,9.967040532225143,-9.967040532225143,3.671027181423826
2020-03-04 15:55:00,-1,4.552520136381132,-4.552520136381132,-0.8814929549573058
2020-03-04 16:00:00,-1,-14.186692493098935,14.186692493098935,13.305199538141629
2020-03-04 16:05:00,-1,-9.30877473861728,9.30877473861728,22.61397427675891
2020-03-04 16:10:00,-1,13.561521378300347,-13.561521378300347,9.052452898458563
2020-03-04 16:15:00,-1,1.973013558986661,-1.973013558986661,7.079439339471902
2020-03-04 16:20:00,-1,-10.76419711144493,10.76419711144493,17.843636450916833
2020-03-04 16:25:00,1,-2.0478889069028043,-2.0478889069028043,15.795747544014029
2020-03-04 16:30:00,-1,13.094542843174795,-13.094542843174795,2.7012047008392344
2020-03-04 16:35:00,-1,4.50525592897774,-4.50525592897774,-1.8040512281385057
2020-03-04 16:40:00,-1,-6.584448287739826,6.584448287739826,4.78039705960132
2020-03-04 16:45:00,-1,-6.856722510997407,6.856722510997407,11.637119570598728
2020-03-04 16:50:00,-1,2.5105754945896765,-2.5105754945896765,9.12654407600905
