entry_time,exit_time,direction,entry_price,exit_price,net_pnl,r_multiple,exit_reason,confidence
2024-10-27 22:00:00+00:00,2024-10-28 02:00:00+00:00,long,1.2962259239999998,1.2949337576986997,-335.0424926855707,-1.143231055178426,sl,0.3611951520902037
2024-11-06 05:00:00+00:00,2024-11-06 06:00:00+00:00,short,1.2891842158,1.2922744440316667,-752.6255429398204,-1.0589784228195491,sl,0.36872953114216245
2024-11-06 09:00:00+00:00,2024-11-06 09:00:00+00:00,short,1.28647427,1.2897809439107615,-798.3686270284381,-1.0549762506870726,sl,0.37623693241948114
2024-11-07 02:00:00+00:00,2024-11-07 03:00:00+00:00,short,1.2880642381999998,1.2907431701155871,-647.533656555471,-1.0680492993449013,sl,0.37001888908153996
2024-11-08 01:00:00+00:00,2024-11-08 09:00:00+00:00,short,1.2981540364,1.294803176711413,719.712941367629,1.4193872671442125,tp,0.38869374420087655
2024-11-10 23:00:00+00:00,2024-11-11 10:00:00+00:00,long,1.2901458023999999,1.2881043997678634,-501.39997226132493,-1.089528692023898,sl,0.36656620743933155
2024-11-12 07:00:00+00:00,2024-11-12 08:00:00+00:00,short,1.282774344,1.2805298351530916,477.6300543345194,1.3814544475391728,tp,0.3530997839575544
2024-11-12 17:00:00+00:00,2024-11-12 17:00:00+00:00,long,1.2763055256,1.2742938663081729,-499.46886113972755,-1.0898825828000018,sl,0.37062756636592303
2024-11-12 19:00:00+00:00,2024-11-13 14:00:00+00:00,long,1.2735354702,1.2766461093761232,680.4299680784133,1.4146040333751777,tp,0.37125918713706574
2024-11-13 16:00:00+00:00,2024-11-13 16:00:00+00:00,long,1.2709054175999999,1.268758323247823,-533.8035861928483,-1.0837790138041983,sl,0.3859696785744319
2024-11-13 20:00:00+00:00,2024-11-14 03:00:00+00:00,long,1.2705654108,1.2683453271957699,-547.8941400690405,-1.080968126518684,sl,0.36048815319701516
2024-11-14 05:00:00+00:00,2024-11-14 10:00:00+00:00,long,1.2683253659999998,1.2665584986606644,-441.46690657563727,-1.1018783090599715,sl,0.4361366712979206
2024-11-14 12:00:00+00:00,2024-11-14 13:00:00+00:00,long,1.2639452783999998,1.266693691389207,596.7049395860538,1.4041877133602263,tp,0.4191426154200316
2024-11-14 15:00:00+00:00,2024-11-14 15:00:00+00:00,long,1.26602532,1.2691145064337317,677.9981985693004,1.414518907346078,tp,0.38174630007498755
2024-11-17 23:00:00+00:00,2024-11-18 17:00:00+00:00,long,1.2619952394,1.2650548281901093,678.1084196940948,1.4139720132020643,tp,0.365757601212858
2024-11-22 17:00:00+00:00,2024-11-25 15:00:00+00:00,short,1.2527349448,1.2550889692285294,-592.407017495949,-1.0753870784067547,sl,0.38625699603262653
2024-11-25 21:00:00+00:00,2024-11-26 00:00:00+00:00,short,1.257574848,1.2541394857604835,769.313435765074,1.423802355437163,tp,0.3764459238720266
2024-11-26 03:00:00+00:00,2024-11-26 04:00:00+00:00,short,1.2524649502,1.2549185803696263,-617.1975049831942,-1.0722827040372342,sl,0.36475485193273505
2024-11-27 22:00:00+00:00,2024-11-28 08:00:00+00:00,short,1.2677346448,1.2645124583388236,714.4383938880445,1.418140476605128,tp,0.3878226612336055
2024-12-13 08:00:00+00:00,2024-12-13 13:00:00+00:00,long,1.263325266,1.2660035361359772,594.2498102521589,1.4017527110868764,tp,0.36770778877067256
2024-12-15 23:00:00+00:00,2024-12-16 10:00:00+00:00,long,1.2612652247999998,1.2650844500310268,869.244119511018,1.430986377804878,tp,0.41571112903509516
2024-12-20 13:00:00+00:00,2024-12-20 14:00:00+00:00,long,1.2506150118,1.2535698977646503,676.2167234659124,1.4117489229884552,tp,0.36445305212960066
2024-12-20 18:00:00+00:00,2024-12-20 18:00:00+00:00,short,1.258724825,1.2612276990182802,-640.0693765768366,-1.0712050544521612,sl,0.37505855208308186
2024-12-20 21:00:00+00:00,2024-12-20 22:00:00+00:00,short,1.2595448086,1.255956087761614,823.2944662943715,1.4269272991142654,tp,0.35562368996210175
2024-12-23 01:00:00+00:00,2024-12-23 13:00:00+00:00,short,1.2572848537999999,1.2523578709503762,1155.3095681340299,1.446802047598675,tp,0.39078459878731137
2024-12-25 10:00:00+00:00,2024-12-25 10:00:00+00:00,short,1.270174596,1.257865970751794,1212.6646256838048,1.4784933061052425,tp,0.3976185147871541
2024-12-25 12:00:00+00:00,2024-12-25 12:00:00+00:00,short,1.2771744559999998,1.2482301641402358,1237.2724604738285,1.4908616026540433,tp,0.506182789378875
