year,trades,win_rate,total_return,total_return_pct,max_drawdown_pct,profit_factor,sharpe_ratio,final_equity,sp500_return,beat_sp500,outperformance
2019,3067,73.6224323443104,32662.667218233662,32.66266721823366,0.07466595325487516,4.966012239242615,3.580648656533195,132662.66721823366,28.9,True,3.762667218233662
2020,2852,74.47405329593268,76744.7941799626,76.7447941799626,0.23377365198157438,6.291143535630382,3.4847475820379006,176744.7941799626,16.400000000000002,True,60.34479417996259
2021,2108,69.40227703984819,26909.460635747644,26.909460635747646,0.09491293506179081,4.060520924000128,2.6385106702528383,126909.46063574764,26.900000000000002,True,0.009460635747643442
2022,2132,69.27767354596624,29071.325614814676,29.071325614814675,0.10760352263273837,4.1420754240857045,2.6778362158146485,129071.32561481468,-18.2,True,47.27132561481467
2023,2504,70.80670926517571,28498.03209915351,28.498032099153512,0.11710363395549393,4.5280892735598,3.0615701799478807,128498.03209915351,24.3,True,4.198032099153515
2024,3568,73.03811659192824,50250.934226444224,50.25093422644422,0.14776762071051472,4.92852142480082,3.857492862528037,150250.93422644422,23.5,True,26.750934226444222
2025,3348,71.05734767025089,62064.41218481143,62.06441218481144,0.30181855350092984,4.719310811839005,4.007554285104912,162064.41218481143,15.0,True,47.06441218481143
