year,trades,win_rate,total_return,total_return_pct,max_drawdown_pct,profit_factor,sharpe_ratio,final_equity,sp500_return,beat_sp500,outperformance
2019,4930,57.38336713995943,52374.08561575273,52.37408561575273,0.22078426381191765,3.3339024253151694,3.5487036410122075,152374.08561575273,28.9,True,23.47408561575273
2020,4031,61.10146365666088,119211.88419858989,119.2118841985899,0.23377365198158478,4.4626781050346285,3.468427581904563,219211.8841985899,16.400000000000002,True,102.81188419858991
2021,3156,54.18250950570342,38592.467288832384,38.59246728883238,0.2523230904895472,2.957770064389609,2.5497004498621494,138592.46728883238,26.900000000000002,True,11.69246728883238
2022,3130,53.89776357827476,41614.81335252026,41.61481335252026,0.28143738715547806,2.9577680877128785,2.5013687391219706,141614.81335252026,-18.2,True,59.81481335252026
2023,4180,55.430622009569376,46753.266385681054,46.75326638568105,0.25416645662837717,3.1844222404312794,3.1083396603644333,146753.26638568105,24.3,True,22.453266385681054
2024,5866,56.75076713262871,82806.81336132059,82.8068133613206,0.3940630412450767,3.278526512275113,3.8272961281073083,182806.8133613206,23.5,True,59.306813361320586
2025,4595,56.53971708378672,89243.13020047298,89.24313020047298,0.5168137854579906,3.5368847552996203,3.867423077506029,189243.13020047298,15.0,True,74.24313020047298
