,num_trades,win_rate,profit_factor,avg_r,max_drawdown,sharpe,final_equity,total_return,sum_wins,sum_losses
ohlcv_model_1T_xgb,6457,0.49248877187548395,2.550544395626352,2.3615359925060355,-665.7378600860986,0.015990035758935213,15305.114767431605,15305.114767431605,25175.915507225334,-9870.800739793725
ohlcv_model_5T_xgb,5108,0.5127251370399374,1.1189616487363143,0.630829391278663,-665.5797066619506,0.036454192955338534,3236.1547772595454,3236.1547772595454,30439.499818590193,-27203.345041330656
ohlcv_model_15T_xgb,1701,0.5167548500881834,1.0962204510835827,0.8406708125668186,-1008.7304358610247,0.029823503503410835,1431.6623938012942,1431.6623938012942,16310.644748162382,-14878.982354361091
ohlcv_model_30T_xgb,842,0.5261282660332541,1.1305453762679043,1.5635275021074573,-1063.4520255764562,0.04147023528429296,1318.0536842765873,1318.0536842765873,11414.571247424026,-10096.51756314744
