,direction,ret,pnl,equity
11968,-1,-9.773379756886625,9.773379756886625,9.773379756886625
11969,-1,-10.700091715071844,10.700091715071844,20.47347147195847
11970,1,-2.6319816373378035,-2.6319816373378035,17.841489834620667
11971,1,17.081772096098522,17.081772096098522,34.92326193071919
11972,-1,-0.8556881872237971,0.8556881872237971,35.77895011794299
11973,1,7.090594570805588,7.090594570805588,42.869544688748576
11974,-1,-8.246138058676685,8.246138058676685,51.11568274742526
11975,-1,-4.2181711477096835,4.2181711477096835,55.33385389513494
11976,-1,-2.6298246579688964,2.6298246579688964,57.96367855310384
11977,1,12.479659378708499,12.479659378708499,70.44333793181234
11978,-1,-4.399095741431094,4.399095741431094,74.84243367324343
11979,1,4.828909888873724,4.828909888873724,79.67134356211716
11980,1,8.0646639417874,8.0646639417874,87.73600750390456
11981,-1,-9.52328626632203,9.52328626632203,97.25929377022659
11982,-1,-0.48883919023743677,0.48883919023743677,97.74813296046403
11983,-1,-2.810962754743722,2.810962754743722,100.55909571520776
11984,-1,-4.5843801001228615,4.5843801001228615,105.14347581533062
11985,1,4.158410997774417,4.158410997774417,109.30188681310503
11986,1,4.40119321238219,4.40119321238219,113.70308002548722
11987,-1,6.110079186626258,-6.110079186626258,107.59300083886097
11988,-1,-3.9080628221104763,3.9080628221104763,111.50106366097145
11989,-1,-8.491142333537569,8.491142333537569,119.99220599450902
11990,1,0.7948104988359642,0.7948104988359642,120.78701649334498
11991,-1,3.178989325931883,-3.178989325931883,117.6080271674131
11992,-1,8.494982460000855,-8.494982460000855,109.11304470741224
11993,-1,3.358470979757301,-3.358470979757301,105.75457372765494
11994,1,-7.569283359785186,-7.569283359785186,98.18529036786975
11995,-1,-2.504642752419618,2.504642752419618,100.68993312028937
11996,1,-1.9553328648677788,-1.9553328648677788,98.73460025542158
11997,1,5.255984794313146,5.255984794313146,103.99058504973473
11998,-1,-2.3211918709410098,2.3211918709410098,106.31177692067574
11999,1,6.720799652961789,6.720799652961789,113.03257657363753
12000,-1,-1.953828588175285,1.953828588175285,114.98640516181281
12001,1,12.458091347122508,12.458091347122508,127.44449650893532
12002,-1,0.6099308948304479,-0.6099308948304479,126.83456561410487
12003,1,4.696181455572182,4.696181455572182,131.53074706967706
12004,-1,-7.132406730066281,7.132406730066281,138.66315379974336
12005,-1,0.7320510239557039,-0.7320510239557039,137.93110277578765
