config,year,return_pct,sp500_return_pct,beat_sp500,max_drawdown_pct,trades,win_rate
C,2019,52.37408561575273,28.9,True,0.22078426381191765,4930,57.38336713995943
C,2020,119.2118841985899,16.400000000000002,True,0.23377365198158478,4031,61.10146365666088
C,2021,38.59246728883238,26.900000000000002,True,0.2523230904895472,3156,54.18250950570342
C,2022,41.61481335252026,-18.2,True,0.28143738715547806,3130,53.89776357827476
C,2023,46.75326638568105,24.3,True,0.25416645662837717,4180,55.430622009569376
C,2024,82.8068133613206,23.5,True,0.3940630412450767,5866,56.75076713262871
C,2025,89.24313020047298,15.0,True,0.5168137854579906,4595,56.53971708378672
D,2019,62.043118569343235,28.9,True,0.4668417861238286,7381,44.70938897168406
D,2020,158.09963162644084,16.400000000000002,True,0.3659750931314105,5639,50.64727788615002
D,2021,48.8339689966371,26.900000000000002,True,0.5292171357887018,4970,43.31991951710262
D,2022,54.44861739322604,-18.2,True,0.6394538779485966,5087,42.323569884018085
D,2023,60.882748205081036,24.3,True,0.424114926435802,6485,44.11719352351581
D,2024,97.36571136808675,23.5,True,0.6860831089849303,8522,44.23844168035672
D,2025,100.17934749558461,15.0,True,1.3899430364045633,5899,45.77046957111375
A,2019,32.66266721823366,28.9,True,0.07466595325487516,3067,73.6224323443104
A,2020,76.7447941799626,16.400000000000002,True,0.23377365198157438,2852,74.47405329593268
A,2021,26.909460635747646,26.900000000000002,True,0.09491293506179081,2108,69.40227703984819
A,2022,29.071325614814675,-18.2,True,0.10760352263273837,2132,69.27767354596624
A,2023,28.498032099153512,24.3,True,0.11710363395549393,2504,70.80670926517571
A,2024,50.25093422644422,23.5,True,0.14776762071051472,3568,73.03811659192824
A,2025,62.06441218481144,15.0,True,0.30181855350092984,3348,71.05734767025089
B,2019,49.03699425120157,28.9,True,0.21807999503768868,4810,65.67567567567568
B,2020,115.26823952043013,16.400000000000002,True,0.27344993438663834,4275,66.66666666666666
B,2021,38.90616125690527,26.900000000000002,True,0.16594929918023596,3147,62.44041944709247
B,2022,41.001584252753005,-18.2,True,0.17494653441961844,3238,61.30327362569488
B,2023,45.8554247064642,24.3,True,0.12619028753630476,4115,63.62089914945322
B,2024,79.19010556683978,23.5,True,0.31926729116491465,5778,64.4686742817584
B,2025,84.79018310258137,15.0,True,0.6976116596988863,5096,60.871271585557295
